Energy sigmaCC sigmaNC
88.2162 59.8547 18.9435
88.3413 59.9379 18.9696
88.4664 60.0212 18.9957
88.5915 60.1044 19.0218
88.7166 60.1876 19.0479
88.8417 60.2708 19.074
88.9668 60.354 19.1001
89.092 60.4372 19.1262
89.2171 60.5204 19.1523
89.3422 60.6036 19.1784
89.4673 60.6868 19.2044
89.5924 60.7699 19.2305
89.7175 60.8531 19.2566
89.8427 60.9362 19.2827
89.9678 61.0194 19.3088
90.0929 61.1025 19.3348
90.218 61.1857 19.3609
90.3431 61.2688 19.387
90.4682 61.352 19.4131
90.5933 61.4351 19.4392
90.7185 61.5183 19.4652
90.8436 61.6014 19.4913
90.9687 61.6845 19.5174
91.0938 61.7677 19.5435
91.2189 61.8508 19.5695
91.344 61.9339 19.5956
91.4691 62.0171 19.6217
91.5943 62.1002 19.6478
91.7194 62.1833 19.6739
91.8445 62.2665 19.7
91.9696 62.3496 19.726
92.0947 62.4328 19.7521
92.2198 62.5159 19.7782
92.345 62.5991 19.8043
92.4701 62.6822 19.8304
92.5952 62.7654 19.8565
92.7203 62.8485 19.8825
92.8454 62.9317 19.9086
92.9705 63.0149 19.9347
93.0956 63.0981 19.9608
93.2208 63.1813 19.9869
93.3459 63.2644 20.013
93.471 63.3476 20.0391
93.5961 63.4308 20.0652
93.7212 63.514 20.0913
93.8463 63.5972 20.1174
93.9715 63.6805 20.1435
94.0966 63.7637 20.1696
94.2217 63.8469 20.1957
94.3468 63.9301 20.2217
94.4719 64.0133 20.2478
94.597 64.0966 20.2739
94.7221 64.1798 20.3
94.8473 64.263 20.3261
94.9724 64.3463 20.3522
95.0975 64.4295 20.3783
95.2226 64.5127 20.4044
95.3477 64.596 20.4305
95.4728 64.6792 20.4566
95.5979 64.7625 20.4827
95.7231 64.8457 20.5088
95.8482 64.929 20.5349
95.9733 65.0122 20.561
96.0984 65.0955 20.5871
96.2235 65.1787 20.6132
96.3486 65.2619 20.6393
96.4738 65.3452 20.6654
96.5989 65.4284 20.6915
96.724 65.5117 20.7176
96.8491 65.5949 20.7437
96.9742 65.6782 20.7698
97.0993 65.7614 20.7959
97.2244 65.8447 20.822
97.3496 65.9279 20.8481
97.4747 66.0112 20.8742
97.5998 66.0944 20.9003
97.7249 66.1776 20.9264
97.85 66.2609 20.9525
97.9751 66.3441 20.9786
98.1003 66.4273 21.0047
98.2254 66.5106 21.0308
98.3505 66.5938 21.0569
98.4756 66.677 21.083
98.6007 66.7602 21.109
98.7258 66.8435 21.1351
98.8509 66.9267 21.1612
98.9761 67.0099 21.1873
99.1012 67.0931 21.2134
99.2263 67.1763 21.2395
99.3514 67.2595 21.2656
99.4765 67.3427 21.2916
99.6016 67.4259 21.3177
99.7267 67.509 21.3438
99.8519 67.5922 21.3699
99.977 67.6754 21.396
100.102 67.7586 21.422
100.227 67.8417 21.4481
100.352 67.9249 21.4742
100.477 68.0081 21.5003
100.603 68.0912 21.5263
100.728 68.1744 21.5524
100.853 68.2575 21.5785
100.978 68.3406 21.6045
101.103 68.4238 21.6306
101.228 68.5069 21.6566
101.353 68.59 21.6827
101.478 68.6732 21.7088
101.603 68.7563 21.7348
101.729 68.8394 21.7609
101.854 68.9225 21.7869
101.979 69.0056 21.813
102.104 69.0887 21.839
102.229 69.1718 21.8651
102.354 69.2549 21.8911
102.479 69.338 21.9172
102.604 69.4211 21.9432
102.73 69.5041 21.9693
102.855 69.5872 21.9953
102.98 69.6703 22.0214
103.105 69.7534 22.0474
103.23 69.8364 22.0735
103.355 69.9195 22.0995
103.48 70.0026 22.1255
103.605 70.0856 22.1516
103.73 70.1687 22.1776
103.856 70.2517 22.2036
103.981 70.3348 22.2297
104.106 70.4179 22.2557
104.231 70.5009 22.2818
104.356 70.584 22.3078
104.481 70.667 22.3338
104.606 70.75 22.3599
104.731 70.8331 22.3859
104.856 70.9161 22.4119
104.982 70.9992 22.4379
105.107 71.0822 22.464
105.232 71.1652 22.49
105.357 71.2483 22.516
105.482 71.3313 22.5421
105.607 71.4143 22.5681
105.732 71.4974 22.5941
105.857 71.5804 22.6201
105.983 71.6634 22.6462
106.108 71.7464 22.6722
106.233 71.8295 22.6982
106.358 71.9125 22.7242
106.483 71.9955 22.7502
106.608 72.0785 22.7763
106.733 72.1616 22.8023
106.858 72.2446 22.8283
106.983 72.3276 22.8543
107.109 72.4106 22.8803
107.234 72.4937 22.9064
107.359 72.5767 22.9324
107.484 72.6597 22.9584
107.609 72.7427 22.9844
107.734 72.8257 23.0104
107.859 72.9088 23.0364
107.984 72.9918 23.0624
108.109 73.0748 23.0885
108.235 73.1578 23.1145
108.36 73.2408 23.1405
108.485 73.3239 23.1665
108.61 73.4069 23.1925
108.735 73.4899 23.2185
108.86 73.5729 23.2445
108.985 73.6559 23.2706
109.11 73.7389 23.2966
109.235 73.822 23.3226
109.361 73.905 23.3486
109.486 73.988 23.3746
109.611 74.071 23.4006
109.736 74.154 23.4266
109.861 74.237 23.4526
109.986 74.32 23.4786
110.111 74.403 23.5046
110.236 74.486 23.5306
110.362 74.569 23.5566
110.487 74.652 23.5827
110.612 74.735 23.6087
110.737 74.818 23.6347
110.862 74.901 23.6607
110.987 74.984 23.6867
111.112 75.067 23.7127
111.237 75.15 23.7387
111.362 75.233 23.7647
111.488 75.316 23.7907
111.613 75.399 23.8167
111.738 75.482 23.8427
111.863 75.565 23.8687
111.988 75.648 23.8947
112.113 75.731 23.9207
112.238 75.814 23.9467
112.363 75.897 23.9727
112.488 75.98 23.9987
112.614 76.0629 24.0246
112.739 76.1459 24.0506
112.864 76.2289 24.0766
112.989 76.3119 24.1026
113.114 76.3949 24.1286
113.239 76.4779 24.1546
113.364 76.5608 24.1806
113.489 76.6438 24.2066
113.615 76.7268 24.2326
113.74 76.8098 24.2586
113.865 76.8927 24.2846
113.99 76.9757 24.3105
114.115 77.0587 24.3365
114.24 77.1416 24.3625
114.365 77.2246 24.3885
114.49 77.3075 24.4145
114.615 77.3905 24.4405
114.741 77.4734 24.4665
114.866 77.5564 24.4924
114.991 77.6393 24.5184
115.116 77.7222 24.5444
115.241 77.8052 24.5704
115.366 77.8881 24.5964
115.491 77.971 24.6223
115.616 78.0539 24.6483
115.741 78.1368 24.6743
115.867 78.2198 24.7003
115.992 78.3027 24.7262
116.117 78.3856 24.7522
116.242 78.4685 24.7782
116.367 78.5513 24.8042
116.492 78.6342 24.8301
116.617 78.7171 24.8561
116.742 78.8 24.8821
116.868 78.8828 24.908
116.993 78.9657 24.934
117.118 79.0486 24.96
117.243 79.1314 24.9859
117.368 79.2143 25.0119
117.493 79.2971 25.0379
117.618 79.3799 25.0638
117.743 79.4628 25.0898
117.868 79.5456 25.1158
117.994 79.6284 25.1417
118.119 79.7112 25.1677
118.244 79.794 25.1937
118.369 79.8768 25.2196
118.494 79.9596 25.2456
118.619 80.0424 25.2715
118.744 80.1252 25.2975
118.869 80.2079 25.3234
