Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.405 7.42e-05 0.0022 4.014 normal 0.9827540273261889 0.9974172445989458 0.9991430226561759 109.36176720116092
0.304 0.022 0.405 7.42e-05 0.00275 4.014 normal 0.9977652784116571 1.0023294481043725 1.0022000643043727 74.0214976991615
0.304 0.022 0.405 7.42e-05 0.0028 4.014 normal 0.9977066992487968 1.0025590696795614 1.002483028917584 91.91194810346825
0.304 0.022 0.405 7.42e-05 0.00285 4.014 normal 0.9975535589256449 1.0028903832717564 1.0027992999963424 109.80539829385475
0.304 0.022 0.405 7.42e-05 0.0027 4.014 normal 0.9930321614476874 1.0021518343100106 1.00178927259846 56.58233278920498
0.304 0.022 0.405 7.42e-05 0.0026 4.014 normal 0.9912128322210122 1.0015684033984988 1.0016307289200543 28.084206900885277
0.304 0.022 0.405 7.42e-05 0.00255 4.014 normal 0.9899359240069124 1.000703771985259 1.0013350651294086 18.887896960930195
0.304 0.022 0.405 7.42e-05 0.00265 4.014 normal 0.9917546763939967 1.0021820038114182 1.001731521682127 41.06049826650572
0.304 0.022 0.405 7.42e-05 0.0025 4.014 normal 0.98934547599269 1.0001039365456177 1.0007918609928428 15.639090269454586
0.304 0.022 0.405 7.42e-05 0.0029000000000000002 4.014 normal 0.9975297368181637 1.0031109383243841 1.0030295971733496 129.23511615476983
0.304 0.022 0.405 7.42e-05 0.00295 4.014 normal 0.9975028400260012 1.003299417355121 1.0032097917385983 149.523797845479
0.304 0.022 0.405 7.42e-05 0.003 4.014 normal 1.0027470341613725 1.0030555536307448 1.0032086417473915 171.16562007600336
0.304 0.022 0.42166666666666663 7.42e-05 0.0022 4.014 normal 0.9857971898994803 0.9996536063932717 1.0007897772847072 106.9136271034118
0.304 0.022 0.42166666666666663 7.42e-05 0.00215 4.014 normal 0.9840250780501393 0.999430100128105 1.000177864373601 130.5632531274181
0.304 0.022 0.42166666666666663 7.42e-05 0.00205 4.014 normal 0.9813122832260348 0.9986809761427824 0.998690262845525 195.8014771032643
0.304 0.022 0.42166666666666663 7.42e-05 0.002 4.014 normal 0.9805781579978017 0.9982201171876597 0.9984351257854293 236.8783071510345
0.304 0.022 0.42166666666666663 7.42e-05 0.0021 4.014 normal 0.9829666537536248 0.9990186123775524 0.9992758943709326 159.71391712394353
0.304 0.022 0.42166666666666663 7.42e-05 0.00245 4.014 normal 0.9909073089604457 1.0021043868135442 1.0017590622564159 16.260611106433863
0.304 0.022 0.42166666666666663 7.42e-05 0.0026 4.014 normal 0.9944525728011103 1.003926976818848 1.0031696616434231 25.069307216646617
0.304 0.022 0.42166666666666663 7.42e-05 0.0024000000000000002 4.014 normal 0.9896271293948804 1.0014714343207458 1.0013510256164526 27.85668512605051
0.304 0.022 0.42166666666666663 7.42e-05 0.0022500000000000003 4.014 normal 0.9859161992049271 1.000192638986508 1.001037999613186 84.6896417762267
0.304 0.022 0.42166666666666663 7.42e-05 0.00255 4.014 normal 0.9930355997833639 1.0028430709941702 1.0029040062864025 15.530665125352431
0.304 0.022 0.42166666666666663 7.42e-05 0.00235 4.014 normal 0.9884335456913742 1.001127519383703 1.0011630242480212 44.62745397555988
0.304 0.022 0.42166666666666663 7.42e-05 0.0023 4.014 normal 0.9875594899235197 1.00068182320073 1.0011079975960242 63.822199221224274
0.304 0.022 0.42166666666666663 7.42e-05 0.0025 4.014 normal 0.9924003385446195 1.0022607091097893 1.002344888853786 11.974131015588558
0.304 0.022 0.42166666666666663 7.42e-05 0.0027 4.014 normal 0.9970371000617502 1.0036865632270948 1.0035106021121023 53.87817600124456
0.304 0.022 0.42166666666666663 7.42e-05 0.0028 4.014 normal 0.9969029664203378 1.0041000227127608 1.0040179076607194 89.8851995385978
0.304 0.022 0.42166666666666663 7.42e-05 0.00295 4.014 normal 1.004420233402969 1.0047353381346258 1.0047634165349268 148.79658341477935
0.304 0.022 0.42166666666666663 7.42e-05 0.003 4.014 normal 1.0048086966369423 1.0050768343402694 1.0049805016384432 170.5278257445782
0.304 0.022 0.42166666666666663 7.42e-05 0.00285 4.014 normal 1.0034659172237241 1.0038775601115904 1.004153429494163 108.60628687394387
0.304 0.022 0.42166666666666663 7.42e-05 0.0029000000000000002 4.014 normal 1.0040016854462568 1.0043534143221544 1.0044989072443367 128.3355664261765
0.304 0.022 0.42166666666666663 7.42e-05 0.00275 4.014 normal 0.9969729723454182 1.0038556911341405 1.003719019519116 71.31069634373858
0.304 0.022 0.42166666666666663 7.42e-05 0.00265 4.014 normal 0.9965847371533946 1.0038438484543064 1.0033315973084125 38.20471661622973
0.304 0.022 0.43833333333333335 7.42e-05 0.00205 4.014 normal 0.9840789196668425 1.0004452675373137 1.0000440590994373 195.68684258953758
0.304 0.022 0.43833333333333335 7.42e-05 0.0023 4.014 normal 0.9900242560537792 1.002557874946326 1.0022727428702827 62.51010332629274
0.304 0.022 0.43833333333333335 7.42e-05 0.0022500000000000003 4.014 normal 0.9883723095740109 1.00195835476529 1.0022108408038868 83.70120689814038
0.304 0.022 0.43833333333333335 7.42e-05 0.0021 4.014 normal 0.9856657689563613 1.0007657629466116 1.000576025413821 159.25528161336746
0.304 0.022 0.43833333333333335 7.42e-05 0.00235 4.014 normal 0.9909610341116312 1.0028985351517656 1.00232408051736 42.946433662756895
0.304 0.022 0.43833333333333335 7.42e-05 0.002 4.014 normal 0.9830955876922668 0.999849129410541 0.9996852015567825 237.34611841125843
0.304 0.022 0.43833333333333335 7.42e-05 0.00215 4.014 normal 0.9865215331313952 1.0010590593090762 1.0013369346619139 129.92533775180078
0.304 0.022 0.43833333333333335 7.42e-05 0.0022 4.014 normal 0.9882150789726304 1.0012565081478169 1.0019782656640572 106.21278022465111
0.304 0.022 0.43833333333333335 7.42e-05 0.0027 4.014 normal 0.9967818558879225 1.0048912149846991 1.0046945529137503 53.05130420138011
0.304 0.022 0.43833333333333335 7.42e-05 0.00265 4.014 normal 0.9965000124834879 1.0049966809138788 1.0045523401840641 37.172370921618516
0.304 0.022 0.43833333333333335 7.42e-05 0.00255 4.014 normal 0.9963977273885399 1.0043832632496654 1.0041746131052827 14.141744709220996
0.304 0.022 0.43833333333333335 7.42e-05 0.0026 4.014 normal 0.9964474377752627 1.0047693161152258 1.0044760788178753 23.947277058619385
0.304 0.022 0.43833333333333335 7.42e-05 0.0024000000000000002 4.014 normal 0.9922078367488872 1.0026888283699444 1.0025054711570682 25.980413703479016
0.304 0.022 0.43833333333333335 7.42e-05 0.00275 4.014 normal 0.9994655716973843 1.006060056745017 1.0050528628346345 70.61671412335384
0.304 0.022 0.43833333333333335 7.42e-05 0.0025 4.014 normal 0.9951129095195287 1.0042150306725188 1.0035213052311758 10.283799697090261
0.304 0.022 0.43833333333333335 7.42e-05 0.00245 4.014 normal 0.9935694903356009 1.0036458207184027 1.002961609847904 14.386323961087369
0.304 0.022 0.43833333333333335 7.42e-05 0.003 4.014 normal 1.0064572592860577 1.0066782185226806 1.0063659201243422 171.3830958458123
